# url=https://m.place.naver.com/restaurant/2016309840/review/visitor, place_name=고가담 위례본점
created,visited,visit_count,author_nickname,body,id,author_id,rating
1.1.목,1.1.목,2,fereto,"삼겹살이랑 목살 시켸 넘 맛나 개눈감추듯먹고
또 오겹살 시콌네요 아이가 오겹에 붙어있는 돼지껍데기를 넘 좋아라해요 ㅎ
이곳은 고기가 숙성이라 부드럽고 육즙이 좋아서 감칠맛이 나는곳, 생각나는곳 입니다 ^^",69563fd5315d8f17caec4d59,cy5zU,
25.11.14.금,25.11.14.금,1,sooksook,"금요일
 고기가 먹고싶어 남위례 새로 생긴 고깃집을 찾아 왔는데 친절하고 숙성 고기라 그런지 부드럽고 아이도 잘먹어요!! 고기와 같이 먹을 소스가 다양해서 고기가 쑥쑥 들어가네요 ㅎㅎ 주차도 가능하여 편하게 먹고 가요~~!!! 국수 마지막에 먹으니 개운하네요~~~!",6917091d25060b9192ef21d9,6jjsu,
25.11.10.월,25.11.9.일,1,돈가스좋아하는피자,성남에 놀러올일이생겨서 고기집 맛있는곳 알아보다가 방문했습니다 새로생겨서 인테리어도 깔끔하고 직원이 고기도 구어주다니 너무좋습닏. 고기 질이 너무 좋고 다양한 소스나 반찬모두맛있습니다 김치찌개 꼭드세요 강력추천,6911bff213a46950aea2dfd9,Ne5d,
25.11.3.월,25.11.3.월,1,김느,맛있어서조만간 다시 방문할 예정이예요. 오겹살 목살  둘다 맛있어요. 고기도 야채도 신선하고 맛있어요. 소스도 다양하고 반찬도 푸짐해요. 계란찜까지 맛있어요. 친절하고  매장도 깔끔해요. 적극 추천합니다,6908824c42139c4f1a91c449,2xjuJ,
25.11.20.목,25.11.20.목,1,김예지7021,고기도 너무 친절하고 맛있게 구워주셔서 회사 동료들과 맛있고 편하게 먹고 왔어요!! 밥이 진짜 너어어어무 맛있었어요!! 밥만 먹어도 맛있네요ㅎㅎㅎㅎ 쌈 채소도 다양하게 나와서 좋았어요!! 밑반찬들도 정갈하고 맛있었네요~~ 회사 근처인데 직장동료들이랑 자주 올 것 같아요^^,691ee4e624237082a47d2ef1,4dgbV,
25.12.22.월,25.12.20.토,1,예나물7,"예약하고 다녀왔는데 이제 단골이 될듯🌟✨
너무 맛있구 구워주니 더좋고
직원들 쏘 친절
그리구 애기들이랑 같이갔는데 애기의자랑 포크도있구 애들두 잘먹어서 고기 추가함 ㅋㅋㅋ",6948e8df844c3702fbf1349d,dMvwv,
25.12.17.수,25.12.17.수,1,im****,찬 진짜 깔끔하게 나와요 ㅋㅋㅋ고기도 질이 좋고 딱 알맞게 구워주고 맛납니당! 소스가 많고 밥알쌈장이 짜지도 않아서 푹푹 먹기 좋고 액체소스?는 미나리랑 궁합이 잘맞아요! 그리고 밥 꼭 시켜드세요 밥이 진짜 맛있어요 수향미 섞었다는데 진짜 고소함...,69429c597b4ba0b217f3476a,3kodw,
25.10.20.월,25.10.19.일,1,미네670,새로 생겼길래 가봤는데 개애애맛있어요 고깈ㅋㅋㅋ 이제 중앙광장까지 안 가도 됩니다. 사장님 진짜 넘 친절하시고 고기도 다 구워주시는데 고기 육즙 팡팡 터지고 부드러워요. 쌈도 종류별로 다양하고 반찬도 다 맛있네요. 이제 단골될 것 같아요!!❤️‍🔥,68f59399c778ad255fcd123b,2czfpG,
25.10.19.일,25.10.19.일,1,미깨,"진짜 맛있는 위례고기집 추천합니다! 엄마가 특히나 맛있으시다고 또오자고 하시네요! 찬도 너무맛있고 고기는 냄새없이 고소하고 쫀득해요~ 고기도 맛있지만 우렁된장찌개랑 보리쌈장이 굳굳굳
특히 바질하고 쌈싸먹으니까 풍미가 진짜 굿입니다 ✨✨",68f47198256bd2fc4e6bd29b,3HCI7,
25.10.18.토,25.10.18.토,1,스프레이,"오랜만에 진짜 맛난 삼겹살 먹었어요🩷
오죽하면 추가까지 했어요 ㅎㅎ오픈한지 오래되지 않은 것 같은데 잘되셨우면 좋겠어요 ㅎㅎ
겉은 바삭하고 속은 쵹쵹해서 고기 넘 마싯고 계란찜도 맛나규
김치말이국수도 존맛이에옹 고기먹을때 추천입니당",68f37061d77cd8ed862c49ef,2CWT,
25.12.17.수,25.12.13.토,1,HS4686,"늦은 점심 시간이라 ㅠ 브레이크 타임에 걸려 열고 있는 
가게가 없어서
겨우 찾아서 들어왔는데 고기 질도 너무 좋고
반찬과 야채 종류도 다양해서 먹는동안 지루한 느낌도 없이 깔 끔하게 식사도 했습니다.
직접 구워주시고 친절하게 응대 해주셔서 즐거운 식사시간 이였습니다!",6942503536a0404b0c061fee,2vF57,
25.10.21.화,25.10.15.수,1,jui****,새로생겼다고해서 방문해봤는데 고기도 맛있게 잘구워주고 고기도 맛있고 서비스도 너무 좋아서 또 방문하고 싶어요!!! 찌개도 맛있다고하던데 저는 김치말이 냉국수를 먹어서 아쉽지만 다음에 찌개 먹으로 방문해보려고합니다!!,68f765fced9deabad5ba0129,2bvJ8h,
25.11.23.일,25.11.23.일,4,라리링린,"고기를 구워주셔서 편하게 먹기만하면 되서 좋아요~ 재방문하면 음료수를 서비스로 줘서 안올 이유가 없어요 
고기도 맛있습니다~!",6922dbcaabf0d89a3d84fc29,64w96,
25.10.12.일,25.10.12.일,1,pjh****,"고기도 직접 다 구워주시는데다가 정말 친절하세요. 반찬도 다 맛있고 아이 친화적, 여성친화적입니다.
센스 가득하게 아기식기, 아기용 계란찜, 이유식  데우기 있구요. 치실,가글 뿐만아니라 화장실엔 여성생리대도 잇어요. 임산부는 무알콜맥주가 공짜인 곳이에요. 정말 모든 곳에서 배려가 느껴지고 맛도 최고입니다.",68eb92f7c39576efd7595e72,44dUh,
25.11.2.일,25.11.2.일,1,tjd****,와이프랑 밥먹으러 다녀왔습니다!! 예약하고 갔는데 세팅을 미리 이쁘게 해주셔서 보자마자 기분 좋았구요!! 고기도 너무 맛있었습니다 버섯을 호일에 감싸서 구워서 먹게 해주시는데 새롭고 맛있었어요!!,69074406b476fbfa2a475716,39yCZ,
25.12.22.월,25.12.22.월,2,예나물7,"처음간건데 생각보다 너무맛있었늠💫
애기들이랑 또 갈게용",6948e93289935af5ffa46973,dMvwv,
25.10.23.목,25.10.18.토,1,미니쭈용용,"너무너무 맛있어요 !! 분위기도 좋고 고기도 처음부터 끝까지 다 구워주시고! 짱이네욥 ㅎㅎ 여기저기 미친센스들 최고구요 위례고기집 고가담에 싹 발릴듯 ㅋㅋㅋ 목살 쫀득쫀득하니 먹어본 목살 중 가히 엄지척이네요
퍽퍽하지않고 쫀득육즙팡팡!! 또 방문하고싶어요!",68f9cceddf4eea46ae90fb18,63LLN,
25.11.28.금,25.11.28.금,1,테크곰,너무 맛있어요 고기도 다 구워주시고 친절하게 안내해주셔서 편하고 즐거운 분위기에서 먹을 수 있었네요.양도 많아서 배부르게 잘 먹었습니다,69297b0045a806b25078515e,2KxnX,
25.10.26.일,25.10.25.토,1,애기토끼86,"새로생겨서 들려본 위례고기집.

숙성고기라서 더 맛있고 처음부터 다 구워주셔서 더 편하고 맛있게 먹고 왔어요.

쫄깃고소 두툼한 목살 정말 최고로 맛있었어요 ㅎㅎ
또 방문하겠습니다 번창하세요 ^^",68fdd975f2ced277fe0a75f7,1Y5se,
25.10.30.목,25.10.29.수,1,msg직딩,"밑반찬도 아주 많이 나오고 파절임 아주 꿀맛이에요!
된찌도 건더기 너무 많아서 굿.
냉면이 없어서 아쉬웠지만 김치말이국수가 있어사 괜츈!
잘먹엇다욤!",69037c991690dea84639c84d,2ZaBX,
25.12.19.금,25.12.19.금,1,맛슐랭l즐거우리,"고기가 맛있는 곳 고가담!!

그릴링 서비스가 예술인 곳입니다☺️
쌈채소가 다양하고 달걀찜 등 다양한 서비스가 구비되어있어, 남녀노소 즐기기 좋네요😆

다음에 또 올게요❤️",694519b636229565c1e20a0a,dnb32,
25.11.8.토,25.11.8.토,1,앙큼이4,"나오자마자 먹느라 바빠서 다먹고 숨돌린 사진만 있네요;; 
이택지 한바퀴 돌다가 끌리는집으로 들어간건데 최고의 선택이었어요 👍🏻  아이도 고기 잘라준거 다먹고 계란찜 그릇까지 싹싹 긁어먹었어요.",690f0f097dcf2282af02c4e6,15rqr,
25.12.19.금,25.12.17.수,1,Seoul리뷰어,"고기가 정말 맛있는 곳❤️
쌈채도 다양하고
함께 먹을 양념이 다양해서 좋았어요🥰

아이랑 오기에도 좋은곳입니다❤️👍",6945167b413ca59907f307f2,3pJN9,
25.10.8.수,25.10.8.수,1,kim****,위례 올 일 있어서 왔다가 고기가 먹고 싶어서 들어왔는데 너무 만족스러운 식사였습니다 사장님과 직원들도 너무 친절하시고 사장님이 고기를 구워주셨는데 거의 오마카세급으로 신경써주셔서 넘 좋았습니다 다음에도 위례 올 일 생기면 방문하겠습니다!!,68e653936d1d470138a97e91,8iEyZ,
25.11.28.금,25.11.28.금,1,ichliebesy1,얼마전 첫방문후에 고기도 맛있게 구워주시고 야채랑 반찬이랑 너무 신선하고 맛있어서 지인가족데리고 두번째 방문했어요 직원들도 너무 친절하고 제기준 위례 원탑입니다~~ 자주 올게요,692982da03daec2f230ead7e,2nLJS,
25.12.31.수,25.12.29.월,1,Bluesky76,매장이 깔끔하고 이것저것 할인혜택도 많고 거기도 두꺼워 육즙을 잘 느낄 수 있어용!!,6954fe16782deb5309056085,3Fv4v,
25.10.6.월,25.10.6.월,2,768898,두 번째 방문입니다 ㅎㅎ 저번에 고기를 너무 맛있게 먹었던 기억에 오늘도 방문했어요 역시 고기 질 미쳤고요 염지(?)를 한 건지 쌈장을 따로 찍지 않아도 짭쪼롬하니 맛있더라고요 그리고 오늘은 치즈계란찜 시켰는데 오분만에 순삭; 레시피 훔치고 싶을 정도로 맛있었어요,68e36e8c8db6ff9258362d87,kxAq,
25.12.27.토,25.12.27.토,1,roc****,인터넷 보고 처음 와봤는데 너무 친절하시고 고기가 다 맛있네요!! 애용 하려고요~,694f9120062ae26d0f6fb489,3NEge,
25.10.19.일,25.10.19.일,1,qazaa11,지인 추천으로 와봤는데 너무 맛있어요! 38주차 임산분데 임신기간동안 무알콜 맥주 있는 고깃집 처음이에요 심지어 무료제공 감동 ㅠㅠ 남편도 너무 맛있다고해서 자주 올 것 같아요 :),68f4c294620051d7cfce0dae,3XsFd,
