# url=https://m.place.naver.com/hospital/1071777550/review/visitor, place_name=서울바로본치과의원 성남
created,visited,visit_count,author_nickname,body,id,author_id,rating
1.3.토,1.3.토,5,로줄,정기적인 잇몸치료를 꾸준히 받고 있어요~,695873b0804a2f12bf85dffb,2Wyiv,
1.3.토,1.3.토,1,나는스리,"너무친절하시고 상담도 자세히 해주셔서 좋아요,",6958a4b966303148ed022825,2a6ix,
1.2.금,1.2.금,7,ndk****,매번 과하지않고 적합한 치료를 제공해주셔 감사합니다. 오늘 크라운을 장착했는데 원래 이 처럼 편하네요,6957855d2f34ac917c68d4f6,3RCPv,
1.2.금,1.2.금,5,고가구21,"한 원장님께 신경치료 잘받앗어요
감사합니다",695775f5b62a5aeb4b631f1c,7KvxQ,
25.12.31.수,25.12.31.수,1,ooa****,"집에서 가까운곳 리뷰보고 왔는데 잘왔다고 생각합니다 !
선생님들도 친절하시구 상담도 잘 해주십니다 시간내주셔서 감사합니다 👍 👍 👍 👍 👍",6954a6165042c29db18c3a52,4CGpQ,
1.2.금,25.12.31.수,1,garlic1,대표원장님께 진료 받았고 친절하십니다!,6957210c8725bbd4eddee4a9,3I5GA,
25.12.31.수,25.12.30.화,11,os****,오늘도 병원 가서 잇몸 치료하고 왔습니다. 다음 주에 또 오라고 하네요. 많이 좋아졌습니다. 새해 복 많이 받으세요.,6954a6b1ea210144e6ebb62a,cnHEs,
25.12.30.화,25.12.30.화,4,고가구21,"한 현호 선생님
신경치료 안아프게 잘해주셨어요
매번느끼지만 성의껏 잘해주세요",69533474f0a12d26f5b47e5e,7KvxQ,
25.12.30.화,25.12.30.화,3,zha****,"치료 설명을 정말 꼼꼼하게 해주시고, 불필요한 치료 없이 필요한 부분만 잘 봐주셨어요.
치료도 빠르고 아프지 않아서 만족합니다.
다음에도 여기로 올 생각이에요.",695381904f41a2400afd1e41,6wSKz,
25.12.27.토,25.12.27.토,2,썰전16,왔다감,694f4827add164d6a8be0aae,2Gcul,
25.12.27.토,25.12.27.토,1,천하무적438,"너무 좋아요
친절하고 너무 잘해주세요.",694f5451b5ba40f9bbabf03f,AFk4,
25.12.26.금,25.12.26.금,1,gog****,너무 친절하고 좋아요~~ 강추입니다,694e606ba185248f24c55e50,21UMJ,
25.12.29.월,25.12.26.금,4,chs****,"치료 잘 받고 
다음 세팅 예약하고 갑니다",69524214944d2d49e4adea80,2hGIj,
25.12.26.금,25.12.26.금,6,ndk****,금광동 최고 치과입니다. 의사선생님부터 도와주시는 선생님들까지 모두 친절하고 기술이좋으십니다.,694e2db8848462e7bc6c8782,3RCPv,
25.12.23.화,25.12.23.화,2,김규빈31,안아프게 너무 잘해주셨어용,694a4f1b16dce8ba7fc68ab6,6q6uC,
25.12.23.화,25.12.23.화,1,건매,오랫동안 믿고 계속 다니는치과입니다 진료잘봐주세요,694a430f434afd00efb4068f,1idMT,
25.12.23.화,25.12.23.화,1,vlsrn2,"스케일링 하러 갔어요! 선생님들도 친절하시고 원장님께서 검진 꼼꼼히 잘 해주셨습니다
안아프게 진료 잘 받았습니다!",694a8019672aa17b8b819af8,4LeAt,
25.12.23.화,25.12.23.화,2,jun****,"치아관리 설명도 잘해주시고 검진도 꼼꼼히 봐주시고 원장님 치위생사님 데스크직원분들 모두들 친절하십니다 
편안하고 쾌적한 환경에서 스케일링 깔끔하게 잘 받았습니다 ^^ 감사합니다",694a558484ef40a8c95f9c85,chGte,
25.12.23.화,25.12.23.화,1,블루보리,스케일링 받았는데 개운하고 다들 친절하세용!,694a53cba0310e8c217046d3,16QRm,
25.12.24.수,25.12.22.월,10,os****,안녕하세요. 계속 와서 잇몸 치료를 했는데 많이 좋아졌어요. 감사합니다,694b8aa5f40ef7cb6df2dd13,cnHEs,
25.12.23.화,25.12.22.월,3,chs****,"신경치료 마무리 다 받고 갑니다
다음치료 예약하고 갑니다",694a4450814cf0e2a43114a3,2hGIj,
25.12.18.목,25.12.18.목,1,hhrins,오늘 사랑니 발치랑 신경치료 잘 받고 왔습니다. 아프지 않게 또 세심하게 치료 잘해주셔서 너무 좋습니다. 원장님과 모든 선생님들 친절하시고 완전 최고입니다~~,6943bbc5aa4b5438a8372c88,1yZUu,
25.12.18.목,25.12.18.목,2,zha****,"병원도 깨끗하고 대기 시간도 길지 않았어요.
과잉 진료 없이 필요한 치료만 해주셔서 만족합니다.
주변 지인들에게도 추천하고 싶어요.",6943a4769a61e23d0c039eb2,6wSKz,
25.12.16.화,25.12.16.화,1,Nice10,친절한 설명과 치료 감사합니다,6940d487ceae99988ac5d0aa,4gFLU,
25.12.15.월,25.12.15.월,1,161280,오늘 처음 방문 했어요! 직원 분들도 친절하시고 선생님 진료도 꼼꼼하시고 설명도 조곤조곤 잘 해주셨습니다. 궁금했던 점들도 답변 잘 해주셨고요 재방문 하려구요👍,693f85daef84757bd55f117d,5sGW7,
25.12.15.월,25.12.15.월,9,os****,안녕하세요. 오늘 얼마 전에 쉬운 이빨이 좀 이상한 거 같애 가지고 왔는데 원장 선생님이 보시더만은 아무 이상 없다고 하셔가지고 너무 기분 좋아요. 그래서 스킬링만 하고 갑니다. 감사합니다.,693f83bf946682d10b2e80e9,cnHEs,
25.12.15.월,25.12.15.월,4,집에가고싶다88,"1년 넘게 잘 다니고 있어요.
꼼꼼하게 치료해주시고 불편한곳 없는지 항상 물어봐줘서 편하게 치료 하고갑니다.",693fb9545fa4a00ab1e76604,3QKts,
25.12.15.월,25.12.15.월,2,chs****,"신경치료 두번째 치료받았어요
치료 잘 받고 갑니다",693ff89ba8090e95540c06b1,2hGIj,
25.12.13.토,25.12.13.토,2,이동용75,모두 친절하시고 치료도 안아프게 잘받았습니다.,693cdefabf9f81f0f27c5832,Lcyq,
25.12.13.토,25.12.13.토,2,정인서23,친절하게 설명해주시고 일정도 최대한 빠르게 잡아주셔서 좋습니다~!,693cf474da97ac701e6cac65,39FKQ,
25.12.12.금,25.12.12.금,1,kng****,집근처라 방문해본곳인데 친절하고 진료 및 치료도 잘해주세요. 분위기도 깔끔하고 좋습니다!,693bd8fcd3c713fbd5a1e74f,3jNao,
25.12.12.금,25.12.12.금,1,chs****,"전날 다른치과에서 신경치료받으러갔는데
본인은 실력이없어서  대학병원이나 보존치료 잘하는곳으로가서 치료받는게좋겠다고 약만처방받았어요
인터넷 검색후 예약하고 방문했는데 친절하게 설명해주시고 바로신경치료들어갔어요
치료받고 나왔는데 너무 좋아요
발치할까봐 걱정했는데 치근관이 막힌것도 다찾아내고 실력도 좋으시고 모든 직원분들 친절해요",693b93dd4f94a6301e1702ad,2hGIj,
25.12.15.월,25.12.12.금,12,뮤즈2281,"친절하게 치료 잘 해 주십니다.
조언도 적절하게 잘 해 주시고요",693f7bd39a996747bad584b3,4kSEk,
25.12.12.금,25.12.12.금,2,미미당,여러번 방문했는데 친절하고 과잉진료가 없어서 좋아요!,693bcd0f8c201c87a4cbb12c,4GRrn,
25.12.12.금,25.12.12.금,8,os****,오늘 집가갔어. 이몸치료하고 왔어요. 보조에요. 한쪽에만 했는데 또 한쪽 해야 된다니까 일주일 후에 또 치료해야 됩니다. 의사 선생님도 꼼꼼하게 잘 해주시고 감사합니다.,693bfd4b5dabbeeabb4754f8,cnHEs,
25.12.18.목,25.12.11.목,1,zha****,"치료 과정 하나하나 자세히 설명해 주셔서 믿음이 갔고,
아프지 않게 신경 써주셔서 너무 좋았습니다.
치과가 무서운 분들께 추천합니다.",69439b160efcc253e5cc7f66,6wSKz,
25.12.10.수,25.12.10.수,1,aid****,"처음 와봤는데 너무 친절하셔서 놀랐습니다..
진심으로 대해주셔서 감사합니다",693934a3a92c8ef2128cf3a6,dE0Bk,
25.12.10.수,25.12.10.수,4,ie****,"항상 친절하세요 
선생님들 실력이 좋으세요",693905674f5b9d63827c193d,1Va3H,
25.12.8.월,25.12.8.월,3,dms****,"오늘도  친절한 치료 잘받고감니다
항상 감사함니다",693686c7e1068a943e5ab08c,GtvX,
25.12.5.금,25.12.5.금,3,고가구21,"시린이 원장님과
간호사 선생님 약잘발라주셨어요
감사합니다",69328ed1a009a36b2f199f08,7KvxQ,
25.12.4.목,25.12.4.목,2,awf****,"두 번째 방문하였습니당
오늘은 충치 치료를 했고 원장님께서 하나도 아프지 않게 치료해주셔서 편하게 치료 받았습니다 !!
원장님께서도 친절하시고 데스크 직원분들도 친절하시고 위생사 선생님들도 모두 친절한 서울바로본치과 추천드립니다 👍",6931537c034f7033afa1a823,86iLX,
25.12.4.목,25.12.4.목,2,달팽이9230,당일 예약 후 방문했는데 기다림 없이 바로 사랑니 발치 했어요! 마취하고나서 발치하는데 1분도 안걸렸어요!!! 그동안 사랑니 3개 뽑아봤는데 이렇게 빠르게 뽑아 주신 쌤은 첨이에요!😄 담에도 또 방문할게요 :),693145aa8fa6c997b6cf4e08,2gGw1,
25.12.4.목,25.12.4.목,2,dms****,치료잘받고  감니다 감사합니다,6930e5aa9a058926beb02c47,GtvX,
25.12.4.목,25.12.4.목,2,서흐,꼼꼼한 검진부터 과잉진료 없이 정말 세심하게 치료해주시는 원장님과 선생님들을 왜 이제서야 만나게 됐는지 후회되네용 ㅋㅋ 앞으로 치과는 여기만 올거에요!! 마취도 안아프게 잘해주시고 치과에 대한 무서움이 없어지고 있습니다..ㅋㅋ 궁금한것도 정성스럽게 답변해주시고 다들 넘 친절하세욤!! 앞으로도 저의 치아를 잘 부탁드립니당!,69314640607814c8acea42ce,4O8S0,
25.12.1.월,25.12.1.월,2,고가구21,"시린이로 방문
간단하게 치료완료
예쁜 선생님 자세하게 굿",692d3faeaea074f379c518db,7KvxQ,
25.12.1.월,25.12.1.월,2,EeeeeeeJiiiii,"겁을 엄청 먹었었는데 마취도 친절히
안 아프게 잘 해주시고 사랑니도 잘 뽑아주셨어요!
아랫쪽 사랑니가 매복이라 조금 힘들었는데
그것 말고는 다 좋았습니다! :)",692d3949b30ecd71f70ae611,52T8Y,
25.12.1.월,25.12.1.월,1,jun****,6월에 받았던 레진치료에 만족하여 재방문 인레이 치료를 받았습니다 전혀 통증없이 빠른 진료에 만족합니다,692d2f4f5a68faa9bc223d86,chGte,
25.11.28.금,25.11.28.금,1,dms****,완전 친절 빠른치료 만족한 치료였어요~~,69295112ed7dc3560dda5356,GtvX,
25.11.28.금,25.11.28.금,1,woo****,낭종 수술이 하나도 안아팠습니다,69294c9eb2ed245744b81355,2cFWF4,
